# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
27.290507	0.067104	0.064570
27.288605	0.067047	0.064570
27.286771	0.066989	0.064570
27.284850	0.066931	0.064570
27.282906	0.066873	0.064570
27.281006	0.066814	0.064570
27.278999	0.066755	0.064570
27.277166	0.066695	0.064570
27.275179	0.066636	0.064570
27.273170	0.066576	0.064570
27.271224	0.066515	0.064570
27.269364	0.066455	0.064570
27.267395	0.066394	0.064570
27.265382	0.066334	0.064570
27.263350	0.066273	0.064570
27.261277	0.066213	0.064570
27.259162	0.066152	0.064570
27.257026	0.066092	0.064570
27.254934	0.066032	0.064570
27.252819	0.065973	0.064570
27.250638	0.065914	0.064570
27.248501	0.065856	0.064570
27.246366	0.065799	0.064570
27.244191	0.065743	0.064570
27.241911	0.065688	0.064570
27.239590	0.065635	0.064570
27.237227	0.065583	0.064570
27.234889	0.065533	0.064570
27.232551	0.065485	0.064570
27.230192	0.065439	0.064570
27.227852	0.065395	0.064570
27.225534	0.065353	0.064570
27.223173	0.065314	0.064570
27.220881	0.065278	0.064570
27.218458	0.065245	0.064570
27.216014	0.065215	0.064570
27.213506	0.065188	0.064570
27.210978	0.065165	0.064570
27.208496	0.065145	0.064570
27.205949	0.065129	0.064570
27.203443	0.065117	0.064570
27.200916	0.065108	0.064570
27.198436	0.065104	0.064570
27.195871	0.065103	0.064570
27.193268	0.065107	0.064570
27.190669	0.065115	0.064570
27.188053	0.065127	0.064570
27.185440	0.065143	0.064570
27.182738	0.065164	0.064570
27.180119	0.065188	0.064570
27.177433	0.065217	0.064570
27.174722	0.065249	0.064570
27.172075	0.065286	0.064570
27.169452	0.065327	0.064570
27.166721	0.065371	0.064570
27.163989	0.065419	0.064570
27.161171	0.065470	0.064570
27.158309	0.065525	0.064570
27.155513	0.065582	0.064570
27.152652	0.065643	0.064570
27.149808	0.065706	0.064570
27.146872	0.065771	0.064570
27.143953	0.065839	0.064570
27.141055	0.065909	0.064570
27.138091	0.065980	0.064570
27.135124	0.066053	0.064570
27.132133	0.066126	0.064570
27.129230	0.066200	0.064570
27.126216	0.066275	0.064570
27.123201	0.066350	0.064570
27.120249	0.066425	0.064570
27.117122	0.066499	0.064570
27.114103	0.066572	0.064570
27.111128	0.066645	0.064570
27.108023	0.066716	0.064570
27.104854	0.066785	0.064570
27.101686	0.066852	0.064570
27.098474	0.066916	0.064570
27.095239	0.066979	0.064570
27.092024	0.067038	0.064570
27.088744	0.067094	0.064570
27.085485	0.067147	0.064570
27.082206	0.067196	0.064570
27.078883	0.067241	0.064570
27.075539	0.067283	0.064570
27.072279	0.067320	0.064570
27.069021	0.067353	0.064570
27.065787	0.067382	0.064570
27.062471	0.067406	0.064570
27.059158	0.067425	0.064570
27.055805	0.067439	0.064570
27.052390	0.067449	0.064570
27.048977	0.067454	0.064570
27.045608	0.067455	0.064570
27.042130	0.067450	0.064570
27.038694	0.067441	0.064570
27.035214	0.067427	0.064570
27.031737	0.067408	0.064570
27.028264	0.067385	0.064570
27.024769	0.067358	0.064570
27.021185	0.067326	0.064570
27.017710	0.067290	0.064570
27.014217	0.067251	0.064570
27.010617	0.067208	0.064570
27.007018	0.067161	0.064570
27.003332	0.067111	0.064570
26.999667	0.067058	0.064570
26.996085	0.067002	0.064570
26.992372	0.066944	0.064570
26.988658	0.066884	0.064570
26.984945	0.066821	0.064570
26.981275	0.066757	0.064570
26.977516	0.066692	0.064570
26.973670	0.066625	0.064570
26.969826	0.066558	0.064570
26.966092	0.066490	0.064570
26.962231	0.066422	0.064570
26.958439	0.066354	0.064570
26.954497	0.066286	0.064570
26.950645	0.066218	0.064570
26.946771	0.066152	0.064570
26.942831	0.066087	0.064570
26.938846	0.066023	0.064570
26.935015	0.065960	0.064570
26.930990	0.065899	0.064570
26.927032	0.065841	0.064570
26.922967	0.065784	0.064570
26.918907	0.065730	0.064570
26.914873	0.065678	0.064570
26.910840	0.065628	0.064570
26.906745	0.065581	0.064570
26.902675	0.065537	0.064570
26.898543	0.065496	0.064570
26.894413	0.065458	0.064570
26.890308	0.065423	0.064570
26.886139	0.065390	0.064570
26.881904	0.065361	0.064570
26.877754	0.065334	0.064570
26.873601	0.065311	0.064570
26.869362	0.065290	0.064570
26.865128	0.065272	0.064570
26.860833	0.065256	0.064570
