in s,C1 in V
-1.530E-07,3.83203E-03
-1.528E-07,3.44141E-03
-1.526E-07,4.22266E-03
-1.524E-07,5.19922E-03
-1.522E-07,5.39453E-03
-1.520E-07,5.00391E-03
-1.518E-07,4.41797E-03
-1.516E-07,3.05078E-03
-1.514E-07,1.68359E-03
-1.512E-07,9.02344E-04
-1.510E-07,-2.69531E-04
-1.508E-07,-4.64844E-04
-1.506E-07,-6.60156E-04
-1.504E-07,-1.05078E-03
-1.502E-07,-2.02734E-03
-1.500E-07,-2.41797E-03
-1.498E-07,-2.80859E-03
-1.496E-07,-3.19922E-03
-1.494E-07,-3.39453E-03
-1.492E-07,-2.41797E-03
-1.490E-07,-2.61328E-03
-1.488E-07,-2.80859E-03
-1.486E-07,-3.00391E-03
-1.484E-07,-3.00391E-03
-1.482E-07,-3.58984E-03
-1.480E-07,-3.78516E-03
-1.478E-07,-3.98047E-03
-1.476E-07,-3.78516E-03
-1.474E-07,-4.17578E-03
-1.472E-07,-3.98047E-03
-1.470E-07,-4.37109E-03
-1.468E-07,-4.56641E-03
-1.466E-07,-4.37109E-03
-1.464E-07,-3.58984E-03
-1.462E-07,-2.61328E-03
-1.460E-07,-2.22266E-03
-1.458E-07,-2.22266E-03
-1.456E-07,-1.44141E-03
-1.454E-07,-1.44141E-03
-1.452E-07,-2.61328E-03
-1.450E-07,-3.00391E-03
-1.448E-07,-2.02734E-03
-1.446E-07,-1.44141E-03
-1.444E-07,-1.63672E-03
-1.442E-07,-2.22266E-03
-1.440E-07,-3.00391E-03
-1.438E-07,-2.61328E-03
-1.436E-07,-2.22266E-03
-1.434E-07,-1.83203E-03
-1.432E-07,-1.24609E-03
-1.430E-07,-2.22266E-03
-1.428E-07,-2.41797E-03
-1.426E-07,-2.22266E-03
-1.424E-07,-1.83203E-03
-1.422E-07,-2.02734E-03
-1.420E-07,-1.83203E-03
-1.418E-07,-2.22266E-03
-1.416E-07,-2.61328E-03
-1.414E-07,-2.41797E-03
-1.412E-07,-2.61328E-03
-1.410E-07,-2.80859E-03
-1.408E-07,-2.41797E-03
-1.406E-07,-2.41797E-03
-1.404E-07,-2.61328E-03
-1.402E-07,-3.19922E-03
-1.400E-07,-3.58984E-03
-1.398E-07,-3.19922E-03
-1.396E-07,-3.39453E-03
-1.394E-07,-4.37109E-03
-1.392E-07,-4.17578E-03
-1.390E-07,-4.37109E-03
-1.388E-07,-3.39453E-03
-1.386E-07,-2.80859E-03
-1.384E-07,-2.02734E-03
-1.382E-07,-2.41797E-03
-1.380E-07,-2.80859E-03
-1.378E-07,-2.80859E-03
-1.376E-07,-3.39453E-03
-1.374E-07,-3.39453E-03
-1.372E-07,-3.58984E-03
-1.370E-07,-3.00391E-03
-1.368E-07,-2.80859E-03
-1.366E-07,-2.61328E-03
-1.364E-07,-2.41797E-03
-1.362E-07,-2.41797E-03
-1.360E-07,-2.41797E-03
-1.358E-07,-2.61328E-03
-1.356E-07,-2.61328E-03
-1.354E-07,-2.80859E-03
-1.352E-07,-2.80859E-03
-1.350E-07,-2.61328E-03
-1.348E-07,-2.61328E-03
-1.346E-07,-3.00391E-03
-1.344E-07,-3.39453E-03
-1.342E-07,-2.41797E-03
-1.340E-07,-2.41797E-03
-1.338E-07,-1.44141E-03
-1.336E-07,-1.44141E-03
-1.334E-07,-1.44141E-03
-1.332E-07,-1.63672E-03
-1.330E-07,-1.83203E-03
-1.328E-07,-1.83203E-03
-1.326E-07,-1.83203E-03
-1.324E-07,-1.63672E-03
-1.322E-07,-2.22266E-03
-1.320E-07,-2.22266E-03
-1.318E-07,-2.80859E-03
-1.316E-07,-3.58984E-03
-1.314E-07,-2.80859E-03
-1.312E-07,-2.80859E-03
-1.310E-07,-2.41797E-03
-1.308E-07,-2.02734E-03
-1.306E-07,-2.02734E-03
-1.304E-07,-1.63672E-03
-1.302E-07,-2.61328E-03
-1.300E-07,-3.00391E-03
-1.298E-07,-3.19922E-03
-1.296E-07,-2.80859E-03
-1.294E-07,-2.61328E-03
-1.292E-07,-2.61328E-03
-1.290E-07,-2.22266E-03
-1.288E-07,-2.02734E-03
-1.286E-07,-1.44141E-03
-1.284E-07,-1.05078E-03
-1.282E-07,-1.63672E-03
-1.280E-07,-1.83203E-03
-1.278E-07,-2.61328E-03
-1.276E-07,-2.22266E-03
-1.274E-07,-2.02734E-03
-1.272E-07,-1.44141E-03
-1.270E-07,-1.83203E-03
-1.268E-07,-1.83203E-03
-1.266E-07,-2.02734E-03
-1.264E-07,-1.44141E-03
-1.262E-07,-8.55469E-04
-1.260E-07,-1.24609E-03
-1.258E-07,-2.22266E-03
-1.256E-07,-2.41797E-03
-1.254E-07,-2.61328E-03
-1.252E-07,-2.41797E-03
-1.250E-07,-2.02734E-03
-1.248E-07,-1.83203E-03
-1.246E-07,-1.83203E-03
-1.244E-07,-1.83203E-03
-1.242E-07,-1.83203E-03
-1.240E-07,-2.41797E-03
-1.238E-07,-2.61328E-03
-1.236E-07,-2.41797E-03
-1.234E-07,-2.41797E-03
-1.232E-07,-2.80859E-03
-1.230E-07,-2.61328E-03
-1.228E-07,-1.63672E-03
-1.226E-07,-1.24609E-03
-1.224E-07,-2.02734E-03
-1.222E-07,-2.22266E-03
-1.220E-07,-1.44141E-03
-1.218E-07,-2.02734E-03
-1.216E-07,-2.02734E-03
-1.214E-07,-2.22266E-03
-1.212E-07,-1.44141E-03
-1.210E-07,-1.44141E-03
-1.208E-07,-1.83203E-03
-1.206E-07,-3.00391E-03
-1.204E-07,-2.61328E-03
-1.202E-07,-2.80859E-03
-1.200E-07,-3.19922E-03
-1.198E-07,-2.22266E-03
-1.196E-07,-1.63672E-03
-1.194E-07,-1.44141E-03
-1.192E-07,-2.02734E-03
-1.190E-07,-1.44141E-03
-1.188E-07,-1.83203E-03
-1.186E-07,-1.83203E-03
-1.184E-07,-2.22266E-03
-1.182E-07,-1.83203E-03
-1.180E-07,-1.83203E-03
-1.178E-07,-1.83203E-03
-1.176E-07,-2.22266E-03
-1.174E-07,-2.22266E-03
-1.172E-07,-2.22266E-03
-1.170E-07,-2.02734E-03
-1.168E-07,-2.02734E-03
-1.166E-07,-1.63672E-03
-1.164E-07,-8.55469E-04
-1.162E-07,-1.24609E-03
-1.160E-07,-1.24609E-03
-1.158E-07,-2.22266E-03
-1.156E-07,-2.02734E-03
-1.154E-07,-2.02734E-03
-1.152E-07,-1.83203E-03
-1.150E-07,-2.02734E-03
-1.148E-07,-1.05078E-03
-1.146E-07,-1.05078E-03
-1.144E-07,-8.55469E-04
-1.142E-07,-8.55469E-04
-1.140E-07,-4.64844E-04
-1.138E-07,-1.24609E-03
-1.136E-07,-1.83203E-03
-1.134E-07,-2.41797E-03
-1.132E-07,-2.02734E-03
-1.130E-07,-1.83203E-03
-1.128E-07,-1.63672E-03
-1.126E-07,-1.44141E-03
-1.124E-07,-1.44141E-03
-1.122E-07,-1.63672E-03
-1.120E-07,-1.83203E-03
-1.118E-07,-2.22266E-03
-1.116E-07,-1.83203E-03
-1.114E-07,-1.24609E-03
-1.112E-07,-6.60156E-04
-1.110E-07,-4.64844E-04
-1.108E-07,-6.60156E-04
-1.106E-07,-1.05078E-03
-1.104E-07,-1.44141E-03
-1.102E-07,-2.41797E-03
-1.100E-07,-2.41797E-03
-1.098E-07,-1.83203E-03
-1.096E-07,-1.05078E-03
-1.094E-07,-1.24609E-03
-1.092E-07,-1.24609E-03
-1.090E-07,-2.02734E-03
-1.088E-07,-2.22266E-03
-1.086E-07,-2.41797E-03
-1.084E-07,-2.02734E-03
-1.082E-07,-2.22266E-03
-1.080E-07,-2.61328E-03
-1.078E-07,-3.19922E-03
-1.076E-07,-2.41797E-03
-1.074E-07,-2.80859E-03
-1.072E-07,-1.83203E-03
-1.070E-07,-1.05078E-03
-1.068E-07,-1.24609E-03
-1.066E-07,-1.63672E-03
-1.064E-07,-1.63672E-03
-1.062E-07,-1.63672E-03
-1.060E-07,-2.02734E-03
-1.058E-07,-1.63672E-03
-1.056E-07,-1.63672E-03
-1.054E-07,-1.24609E-03
-1.052E-07,-1.83203E-03
-1.050E-07,-1.83203E-03
-1.048E-07,-2.02734E-03
-1.046E-07,-2.22266E-03
-1.044E-07,-2.02734E-03
-1.042E-07,-1.44141E-03
-1.040E-07,-6.60156E-04
-1.038E-07,-1.05078E-03
-1.036E-07,-1.44141E-03
-1.034E-07,-1.83203E-03
-1.032E-07,-2.02734E-03
-1.030E-07,-2.02734E-03
-1.028E-07,-2.02734E-03
-1.026E-07,-2.41797E-03
-1.024E-07,-2.80859E-03
-1.022E-07,-2.41797E-03
-1.020E-07,-2.22266E-03
-1.018E-07,-2.22266E-03
-1.016E-07,-2.02734E-03
-1.014E-07,-1.83203E-03
-1.012E-07,-1.63672E-03
-1.010E-07,-1.44141E-03
-1.008E-07,-6.60156E-04
-1.006E-07,-1.44141E-03
-1.004E-07,-1.63672E-03
-1.002E-07,-2.02734E-03
-1.000E-07,-2.22266E-03
-9.980E-08,-2.22266E-03
-9.960E-08,-2.02734E-03
-9.940E-08,-2.41797E-03
-9.920E-08,-2.41797E-03
-9.900E-08,-2.61328E-03
-9.880E-08,-2.02734E-03
-9.860E-08,-1.63672E-03
-9.840E-08,-1.63672E-03
-9.820E-08,-1.24609E-03
-9.800E-08,-1.44141E-03
-9.780E-08,-1.63672E-03
-9.760E-08,-8.55469E-04
-9.740E-08,-1.05078E-03
-9.720E-08,-8.55469E-04
-9.700E-08,-1.24609E-03
-9.680E-08,-1.24609E-03
-9.660E-08,-8.55469E-04
-9.640E-08,-8.55469E-04
-9.620E-08,-1.63672E-03
-9.600E-08,-2.02734E-03
-9.580E-08,-2.02734E-03
-9.560E-08,-2.22266E-03
-9.540E-08,-1.83203E-03
-9.520E-08,-1.63672E-03
-9.500E-08,-1.05078E-03
-9.480E-08,-1.05078E-03
-9.460E-08,-1.05078E-03
-9.440E-08,-6.60156E-04
-9.420E-08,-1.24609E-03
-9.400E-08,-1.44141E-03
-9.380E-08,-1.83203E-03
-9.360E-08,-2.02734E-03
-9.340E-08,-1.44141E-03
-9.320E-08,-1.83203E-03
-9.300E-08,-2.41797E-03
-9.280E-08,-1.83203E-03
-9.260E-08,-8.55469E-04
-9.240E-08,-8.55469E-04
-9.220E-08,-4.64844E-04
-9.200E-08,-8.55469E-04
-9.180E-08,-1.05078E-03
-9.160E-08,-1.05078E-03
-9.140E-08,-1.24609E-03
-9.120E-08,-6.60156E-04
-9.100E-08,-2.69531E-04
-9.080E-08,3.16406E-04
-9.060E-08,3.16406E-04
-9.040E-08,-2.69531E-04
-9.020E-08,-1.24609E-03
-9.000E-08,-1.24609E-03
-8.980E-08,-2.02734E-03
-8.960E-08,-2.02734E-03
-8.940E-08,-2.02734E-03
-8.920E-08,-1.83203E-03
-8.900E-08,-1.83203E-03
-8.880E-08,-1.44141E-03
-8.860E-08,-2.02734E-03
-8.840E-08,-1.44141E-03
-8.820E-08,-1.63672E-03
-8.800E-08,-1.44141E-03
